date,currency_code,name,local_price,dollar_ex
2008-06-01,EUR,Euro area,3.36856,0.630497147
2008-06-01,GBP,Britain,2.29,0.5010396570000001
2008-06-01,HKD,Hong Kong,13.3,7.7974
2008-06-01,HUF,Hungary,670.0,144.2578
2008-06-01,IDR,Indonesia,18700.0,9152.0
2008-06-01,JPY,Japan,280.0,106.855
2008-06-01,KRW,South Korea,3200.0,1018.05
2008-06-01,LKR,Sri Lanka,210.0,107.55
2008-06-01,MXN,Mexico,32.0,10.1685
2008-06-01,MYR,Malaysia,5.5,3.238
2008-06-01,NOK,Norway,40.0,5.07915
2008-06-01,NZD,New Zealand,4.9,1.3177
2008-06-01,PKR,Pakistan,140.0,70.9
2008-06-01,PEN,Peru,9.5,2.84
2008-06-01,PHP,Philippines,87.0,44.485
2008-06-01,PLN,Poland,7.0,2.03145
2008-06-01,RUB,Russia,59.0,23.2336
2008-06-01,SAR,Saudi Arabia,10.0,3.74955
2008-06-01,SGD,Singapore,3.95,1.35275
2008-06-01,SEK,Sweden,38.0,5.96085
2008-06-01,THB,Thailand,62.0,33.36
2008-06-01,TRY,Turkey,5.15,1.19275
2008-06-01,TWD,Taiwan,75.0,30.3625
2008-06-01,UAH,Ukraine,11.0,4.6
2008-06-01,UYU,Uruguay,61.0,19.15
2008-06-01,USD,United States,3.57,1.0
2008-06-01,ZAR,South Africa,16.95,7.56325
2009-07-01,AED,UAE,10.0,3.673
2009-07-01,ARS,Argentina,11.5,3.81125
2009-07-01,AUD,Australia,4.34,1.2869
2009-07-01,BRL,Brazil,8.03,1.9971
2009-07-01,CAD,Canada,3.89,1.16085
2009-07-01,CHF,Switzerland,6.5,1.08605
2009-07-01,CLP,Chile,1750.0,548.55
2009-07-01,CNY,China,12.5,6.8327
2009-07-01,COP,Colombia,7000.0,2095.6
2009-07-01,CRC,Costa Rica,2000.0,582.57
2009-07-01,CZK,Czech Republic,67.92,18.66155
2009-07-01,DKK,Denmark,29.5,5.3375
2009-07-01,EGP,Egypt,13.0,5.58475
2009-07-01,EUR,Euro area,3.31,0.7168972690000001
2009-07-01,GBP,Britain,2.29,0.620886626
2009-07-01,HKD,Hong Kong,13.3,7.7505
2009-07-01,HUF,Hungary,720.0,199.1577
2009-07-01,IDR,Indonesia,20900.0,10200.0
2009-07-01,ILS,Israel,15.0,3.97425
2009-07-01,JPY,Japan,320.0,92.565
2009-07-01,KRW,South Korea,3400.0,1314.5
2009-07-01,LKR,Sri Lanka,210.0,114.86
2009-07-01,MXN,Mexico,33.0,13.8104
2009-07-01,MYR,Malaysia,6.77,3.602
2009-07-01,NOK,Norway,40.0,6.50925
2009-07-01,NZD,New Zealand,4.9,1.59235
2009-07-01,PKR,Pakistan,190.0,82.6
2009-07-01,PEN,Peru,8.056000000000001,3.0274
2009-07-01,PHP,Philippines,99.39,48.385
2009-07-01,PLN,Poland,7.6,3.15525
2009-07-01,RUB,Russia,67.0,32.7959
2009-07-01,SAR,Saudi Arabia,11.0,3.7504
2009-07-01,SGD,Singapore,4.22,1.4645
2009-07-01,SEK,Sweden,39.0,7.90915
2009-07-01,THB,Thailand,64.49,34.165
2009-07-01,TRY,Turkey,5.65,1.55005
2009-07-01,TWD,Taiwan,75.0,33.1755
2009-07-01,UAH,Ukraine,14.0,7.66
2009-07-01,UYU,Uruguay,61.0,23.17
2009-07-01,USD,United States,3.57,1.0
2009-07-01,ZAR,South Africa,17.95,8.2805
2010-01-01,AED,UAE,11.0,3.673
2010-01-01,ARS,Argentina,7.0,3.7985
2010-01-01,AUD,Australia,4.35,1.09355
2010-01-01,BRL,Brazil,8.2,1.7233
2010-01-01,CAD,Canada,4.12,1.0368
2010-01-01,CHF,Switzerland,6.5,1.03115
2010-01-01,CLP,Chile,1600.0,503.1
2010-01-01,CNY,China,12.5,6.8272
2010-01-01,COP,Colombia,8200.0,2095.6
2010-01-01,CRC,Costa Rica,2050.0,582.57
2010-01-01,CZK,Czech Republic,67.64,18.21005
2010-01-01,DKK,Denmark,30.94,5.16195
2010-01-01,EGP,Egypt,13.0,5.465
2010-01-01,EUR,Euro area,3.36,0.693649638
